Valid Remaining Qty,SO Created Date,Material,Old material number,Name,Item category group,Overall CreditStatus,Sales document,Sales Document Item,Schedule line number,Production scheduler,Remaining Quantity,Unrestricted On-hand Qty,Remaining Net Value,ATP Confirm Date,Requested (First) Date,MRP Controller (Materials Planner),Kanban Armature,Field Shima Shell,Magnet Shima Shell,Casting,Casting 2,RYG,Comments,Customer Expedite/late delivery explanation
+,2/26/2021,30179028,5103-541-004,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2148717,22,1,685,23,6,652.28,3/16/2021,3/16/2021,ID3,null,null,null,null,null,Y,WO# 11274766 15 PCS @ 685,3/16: 540-0244 received; 748-0025 added as shortage
+,2/26/2021,30179067,5124-111-001,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2148717,21,1,475,23,23,1110.21,3/16/2021,3/16/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 22/24",null
+,3/15/2021,30179181,5300-178-001,MOTION INDUSTRIES INC,NORM,A,2157158,10,2,685,17,null,1180.99,3/22/2021,3/16/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/9/2021,30189323,5370-169-289,COMPTROL INC,NORM,A,2154194,10,1,681,1,null,831.79,3/16/2021,3/16/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,"4/7 Teams
4/15 Kitted short 5370-631-244"
+,3/15/2021,30189338,5370-170-206,MOTION INDUSTRIES INC,NORM,A,2157400,10,2,681,1,null,543.36,4/6/2021,3/16/2021,ID4,None,None,None,None,None,Y,WO# 11279805 2 PCS,3/22: 798-0288 need new collet; Oliwer to order
+,3/15/2021,30189402,5370-273-208,MOTION INDUSTRIES INC,NORM,A,2157508,10,2,681,3,null,3112.86,3/29/2021,3/16/2021,ID4,110-0332,None,"800-0376
5370-631-218",258-1223,258-1225,Y,WO# 11279806 3 PCS,null
+,3/9/2021,30189872,5391-170-009,ALTRA INDUSTRIAL MOTION TAIWAN,NORM,A,2154049,30,1,682,1,null,716.74,3/16/2021,3/16/2021,ID3,null,null,null,null,null,Y,WO# 11247053 5 PCS @ 682,null
+,2/23/2021,30179019,5103-451-004,DIE QUIP,NORM,A,2146455,20,1,633,1,1,158.3,3/17/2021,3/17/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10","4/6 Teams
4/5: Adjusted out of stock, added shortage 5203-800-001"
+,2/23/2021,30179032,5103-751-010,DIE QUIP,NORM,A,2146455,30,1,855,1,1,206.82,3/17/2021,3/17/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10",4/6 Teams
+,3/10/2021,30179181,5300-178-001,LEBLOND LTD,NORM,A,2154900,10,1,685,3,null,342.9,3/17/2021,3/17/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,3/19 Teams
+,2/23/2021,30179245,5365-111-009,DIE QUIP,NORM,A,2146455,10,1,634,1,null,260.46,3/17/2021,3/17/2021,ID3,null,null,null,null,null,R,Need 540-0636 wo# 11273819 10 PCS @ 683/475,4/6 Teams
+,3/16/2021,30179245,5365-111-009,MOTION INDUSTRIES INC,NORM,A,2158152,10,2,634,6,null,1200.84,4/7/2021,3/17/2021,ID3,null,null,null,null,null,R,Need 540-0636 wo# 11273819 10 PCS @ 683/475,null
+,3/10/2021,30188172,5131-273-011,SERMI INC,NORM,D,2155130,10,2,684,1,null,1355.06,4/14/2021,3/17/2021,IDF,null,null,null,null,null,K,Kanban @ 684,"3/15: 5104-451-034-/-5104-800-011 PO 40 PCS Due 3/9 (Need update from Todd)
3/17: 5104-800-011 (10pc received); released 5104-451-034"
+,3/17/2021,30188228,5154-170-001,KAMAN INDUSTRIAL TECH,NORM,A,2158722,10,2,170,1,null,738.25,3/24/2021,3/17/2021,ID4,null,null,null,null,null,Y,WO# 11276934 4 PCS,3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,3/16/2021,30188566,5200-751-023,VAN METER INDUSTRIAL INC,NORM,A,2158131,20,2,300,4,1,1364,3/3/2025,3/17/2021,ID3,null,null,null,null,null,Y,WO# 11279807 10 PCS @ 202/300,4/12 Teams
+,3/16/2021,30189278,5370-169-203,MOTION INDUSTRIES INC,NORM,A,2157978,120,2,681,2,1,871.32,3/23/2021,3/17/2021,IDG,110-0331,None,"800-0375
5370-631-203",258-1225,None,K,Kanban @ 681,null
+,3/16/2021,30189299,5370-169-248,ISC COMPANIES,NORM,A,2158066,20,2,681,2,null,1183.34,4/14/2021,3/17/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11279809 2 PCS,null
+,3/17/2021,30189319,5370-169-279,APPLIED INDUSTRIAL TECH,NORM,A,2158708,10,2,681,1,null,627.51,3/24/2021,3/17/2021,IDG,110-0331,None,None,258-1226,None,K,Kanban @ 681,4/9 Teams
+,3/16/2021,30189338,5370-170-206,APPLIED INDUSTRIAL TECH,NORM,A,2158412,10,2,681,1,null,543.36,4/7/2021,3/17/2021,ID4,None,None,None,None,None,Y,WO# 11279805 2 PCS,3/22: 798-0288 need new collet; Oliwer to order
+,3/17/2021,30189389,5370-273-099,APPLIED INDUSTRIAL TECH,NORM,A,2158643,40,2,681,1,null,1055.21,3/24/2021,3/17/2021,IDG,110-0331,None,None,None,None,"K
WD",Kanban @ 681,"4/6 5370-800-019 to stock; opened order for 5370-451-076
4/9 5370-451-076 to stock"
+,3/3/2021,30189681,5371-273-045,KAMAN INDUSTRIAL TECH,NORM,A,2151385,10,1,681,1,1,2207.98,3/17/2021,3/17/2021,ID4,110-0333,None,None,None,None,Y,WO# 11290109 1 PC,3/29 Teams
+,2/26/2021,30188302,5161-271-007,KAMAN INDUSTRIAL TECH,NORM,A,2148923,10,2,682,1,null,953.98,4/12/2021,3/18/2021,ID3,null,null,null,null,null,R,Need 540-0912 wo# 11276813 15 PCS @ 683/475/683/686,"3/22: 5161-800-001 received
3/24: 5161-751-001 to stock"
+,3/10/2021,30189300,5370-169-249,VARICRAFT DE MEXICO SA DE CV,NORM,D,2154839,10,2,681,1,null,591.67,3/25/2021,3/18/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11273712 1 PC,"3/29 Teams
4/15 Kitted short 5370-631-234"
+,3/17/2021,30189389,5370-273-099,MOTION INDUSTRIES INC,NORM,A,2158917,10,2,681,1,null,1055.21,3/24/2021,3/18/2021,IDG,110-0331,None,None,None,None,"K
WD",Kanban @ 681,"4/6 5370-800-019 to stock; opened order for 5370-451-076
4/9 5370-451-076 to stock"
+,3/8/2021,30189392,5370-273-107,IBT,NORM,A,2153756,10,2,681,1,null,1338.2,3/29/2021,3/18/2021,ID4,110-0332,None,None,None,None,"R
WD","WO# 11273715 1 PC 
Need 798-0265 wo# 11273713 10 PCS @ 686",4/16 Teams
+,3/18/2021,30179075,5181-101-010,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,14,2,600,4,4,47.68,4/1/2021,3/19/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15",null
+,3/18/2021,30179077,5200-101-010,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,17,2,600,1,1,41.04,4/1/2021,3/19/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15",null
+,3/18/2021,30179148,5207-541-002,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,15,2,202,1,null,162.82,4/1/2021,3/19/2021,ID3,null,null,null,null,null,Y,WO# 11273817 10 PCS @ 202/634,null
+,3/18/2021,30179176,5281-111-002,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,13,2,634,1,1,104.99,4/1/2021,3/19/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15",null
+,3/18/2021,30179181,5300-178-001,APPLIED INDUSTRIAL TECH,NORM,A,2159659,30,2,685,1,null,72.9,3/25/2021,3/19/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/18/2021,30179230,5321-101-002,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,16,2,600,1,1,10.38,4/1/2021,3/19/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15",null
+,3/18/2021,30179255,5369-631-005,THOMPSON INDUSTRIAL SUPPLY,NORM,A,2159859,12,2,633,1,1,355.68,4/1/2021,3/19/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15",null
+,3/17/2021,30188228,5154-170-001,APPLIED INDUSTRIAL TECH,NORM,A,2159084,30,2,170,3,null,1782.84,3/24/2021,3/19/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,3/10/2021,30189286,5370-169-219,BESSER CO,NORM,A,2155225,10,2,681,1,null,441.58,3/24/2021,3/19/2021,ID4,110-0331,None,"800-0375
5370-631-204",258-1225,None,Y,WO# 11273716 1 PC,null
+,3/18/2021,30189412,5370-273-229,MOTION INDUSTRIES INC,NORM,A,2159849,10,2,681,6,6,6708.66,3/25/2021,3/19/2021,IDG,110-0332,"800-0374
5370-451-219","800-0376
5370-631-219",258-1224,258-1225,G,Shipper printed 4/1,null
+,3/18/2021,30189647,5371-270-009,KAMAN INDUSTRIAL TECH,NORM,A,2159677,10,2,681,2,null,1337.98,3/23/2021,3/19/2021,IDG,None,None,None,None,None,K,Kanban @ 681,null
+,3/12/2021,30189695,5371-273-093,G F GOODMAN & SON,NORM,A,2156640,10,2,681,4,null,5582.92,5/10/2021,3/19/2021,ID4,110-0333,None,None,None,None,R,"WO# 11273721; 11273794
Need 798-0123 wo# 11240842 5 PCS @ 686
Need 807-0061 wo# 11311816 50 PCS @ 683",null
+,3/19/2021,30179258,5369-631-011,BSC INDUSTRIES INC,NORM,A,2160490,10,2,633,1,null,416.26,4/19/2021,3/22/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,null
+,3/19/2021,30189389,5370-273-099,APPLIED INDUSTRIAL TECH,NORM,A,2160370,10,2,681,1,null,1055.21,3/30/2021,3/22/2021,IDG,110-0331,None,None,None,None,"K
WD",Kanban @ 681,"4/6 5370-800-019 to stock; opened order for 5370-451-076
4/9 5370-451-076 to stock"
+,3/23/2021,30178738,110-0098,PINES POWER TRANSMISSION LLC,NORM,B,2161733,12,2,475,3,3,441.06,4/7/2021,3/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,3/23/2021,30179033,5104-101-002,PINES POWER TRANSMISSION LLC,NORM,B,2161733,14,2,600,3,3,21.3,4/7/2021,3/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,3/23/2021,30179052,5104-541-002,PINES POWER TRANSMISSION LLC,NORM,B,2161733,11,2,685,3,3,234.78,4/7/2021,3/23/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 13",null
+,3/23/2021,30179253,5367-631-008,PINES POWER TRANSMISSION LLC,NORM,B,2161733,13,2,633,3,null,1194.27,4/7/2021,3/23/2021,ID3,null,null,null,null,null,Y,WO# 11313485 50 PCS @ 635/633,null
+,3/23/2021,30188228,5154-170-001,PURVIS INDUSTRIES LTD,NORM,D,2161743,10,2,170,1,null,738.25,3/30/2021,3/23/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),null
+,2/22/2021,30189418,5370-273-235,RUMSEY ELECTRIC CO,NORM,D,2145745,20,1,681,15,14,11952.15,3/23/2021,3/23/2021,IDG,110-0332,"800-0374
5370-451-219","800-0376
5370-631-219",258-1224,258-1225,K,Kanban @ 681,null
+,3/22/2021,30189423,5370-273-244,APPLIED INDUSTRIAL TECH,NORM,A,2161267,10,2,681,2,null,2125.22,4/6/2021,3/23/2021,ID4,None,None,None,None,None,Y,WO# 11284916 2 PC,null
+,3/11/2021,30189622,5371-169-054,KAMAN INDUSTRIAL TECH,NORM,A,2156110,10,2,681,1,null,1618.79,3/25/2021,3/23/2021,ID4,110-0333,None,None,None,None,Y,WO# 11273813 1 PC,null
+,2/10/2021,30189775,5380-170-014,MOTION INDUSTRIES INC,NORM,A,2140315,20,2,682,7,null,2626.89,5/12/2021,3/23/2021,ID3,null,null,null,null,null,R,Need 5380-111-003-/-5380-295-003 wo# 11239788 7 PCS @ 683/634,3/3: 540-1703 to stock
+,2/23/2021,30179240,5353-105-002,BESSER CO,NORM,A,2146834,10,1,null,1,1,398.76,3/24/2021,3/24/2021,ID9,null,null,null,null,null,G,"Ship complete, need line 30",3/3 Teams
+,2/23/2021,30186027,287-0014,BESSER CO,NORM,A,2146834,20,1,202,3,3,709.56,3/24/2021,3/24/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 30",3/3 Teams
+,3/23/2021,30188228,5154-170-001,KAMAN INDUSTRIAL TECH,NORM,A,2161971,10,2,170,1,null,738.25,3/30/2021,3/24/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),null
+,3/26/2021,30188164,5130-273-060,MOTION INDUSTRIES INC,NORM,A,2163898,10,2,684,1,null,1144.59,5/10/2021,3/26/2021,IDF,null,null,null,null,null,K,Kanban @ 684,null
+,3/24/2021,30188229,5154-170-002,APPLIED INDUSTRIAL TECH,NORM,A,2162365,20,2,170,2,null,1476.5,3/31/2021,3/24/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 PO 250 PCS Due 3/26 (4/19)(75 due 4/16),3/24: 5154-445-003 -  Disks to arrive 3/25; need to broach and send to GL.  Anticipated completed parts 4/19
+,2/26/2021,30188980,5300-541-014,WARNER ELECTRIC EUROPE,NORM,A,2148933,10,1,202,14,14,447.86,3/24/2021,3/24/2021,ID3,null,null,null,null,null,G,Shipper printed 4/14,4/13 Teams
+,2/23/2021,30189303,5370-169-259,BESSER CO,NORM,A,2146834,30,1,681,4,null,2341.2,3/24/2021,3/24/2021,ID4,110-0332,None,None,None,None,Y,"WO# 11250187; 11250188 2 PCS Each
Need 540-2078 wo# 11300048 10 PCS @ 683","3/3 Teams
3/29: Order given to Karen to pull
3/30: Pulled short 5370-631-244; 540-2078"
+,3/23/2021,30189323,5370-169-289,TORPEY DENVER INC,NORM,A,2162020,10,2,681,1,null,831.79,3/30/2021,3/24/2021,IDG,110-0332,None,None,258-1226,None,K,Kanban @ 681,4/8 Teams
+,3/23/2021,30189339,5370-170-207,KAMAN INDUSTRIAL TECH,NORM,A,2161996,10,2,681,1,null,543.36,4/7/2021,3/24/2021,ID4,None,None,None,None,None,Y,WO# 11279810 1 PC,null
+,9/29/2020,30189374,5370-270-229,RUMSEY ELECTRIC CO,NORM,A,2080024,90,2,681,8,null,3747.52,3/31/2021,3/24/2021,IDG,None,"800-0374
5370-451-219",None,258-1224,None,K,Kanban @ 681,null
+,3/24/2021,30189419,5370-273-236,KAMAN INDUSTRIAL TECH,NORM,A,2162498,10,2,681,1,null,862.38,3/31/2021,3/24/2021,ID4,110-0331,"800-0371
5370-451-204","800-0375
5370-631-214",258-1223,258-1224,Y,WO# 11288149 1 PC,null
+,3/24/2021,30065302,5204-451-090,APPLIED INDUSTRIAL TECH,NORM,A,2162573,20,2,null,1,null,1035.63,4/21/2021,3/25/2021,ID9,null,null,null,null,null,P,PO 4500813471 4 PCS Due 4/21,null
+,3/16/2021,30066713,5304-631-010,APPLIED MEXICO SA DE CV,NORM,A,2158194,17,2,null,1,1,934.78,3/3/2025,3/25/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/24/2021,30066825,5314-631-005,MOTION INDUSTRIES INC,NORM,A,2162528,10,1,null,2,2,1884.96,3/25/2021,3/25/2021,ID9,null,null,null,null,null,G,Shipper printed 3/24,null
+,3/16/2021,30178758,180-0026,APPLIED MEXICO SA DE CV,NORM,A,2158194,20,2,null,1,1,81.71,3/3/2025,3/25/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/25/2021,30178815,180-0128,BSC INDUSTRIES INC,NORM,A,2163226,11,2,null,1,1,44.93,4/9/2021,3/25/2021,ID9,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/25/2021,30179076,5200-101-009,BSC INDUSTRIES INC,NORM,A,2163226,14,2,600,3,3,35.49,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/25/2021,30179077,5200-101-010,BSC INDUSTRIES INC,NORM,A,2163226,17,2,600,1,1,41.04,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/25/2021,30179179,5300-101-008,BSC INDUSTRIES INC,NORM,A,2163226,16,2,600,1,1,10.3,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/25/2021,30179180,5300-111-002,BSC INDUSTRIES INC,NORM,A,2163226,13,2,634,1,1,116.86,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/16/2021,30179181,5300-178-001,APPLIED MEXICO SA DE CV,NORM,A,2158194,15,2,685,1,null,72.9,3/3/2025,3/25/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/25/2021,30179181,5300-178-001,APPLIED INDUSTRIAL TECH,NORM,A,2163155,10,2,685,1,null,72.9,4/1/2021,3/25/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/25/2021,30179183,5300-541-004,BSC INDUSTRIES INC,NORM,A,2163226,15,2,202,1,1,141.96,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
-,11/23/2020,30179195,5300-631-011,MECHANICAL DRIVES & BELTING,NORM,A,2104810,30,1,633,6,6,1076.1,3/25/2021,3/25/2021,ID3,null,null,null,null,null,G,Shipper printed 3/25,null
+,11/23/2020,30179195,5300-631-011,MECHANICAL DRIVES & BELTING,NORM,A,2104810,30,2,633,2,2,358.7,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Shipper printed 3/25,null
+,3/25/2021,30179195,5300-631-011,BSC INDUSTRIES INC,NORM,A,2163226,12,2,633,1,1,331.27,4/9/2021,3/25/2021,ID3,null,null,null,null,null,G,Complete 4/19,4/8 Teams
+,3/25/2021,30179200,5300-631-051,WARREN M PIKE & ASSOC INC,NORM,A,2163222,10,2,633,1,null,315.35,4/26/2021,3/25/2021,ID3,null,null,null,null,null,Y,WO# 11288153 1 PC @ 633,4/14 Teams
+,3/16/2021,30179221,5304-541-002,APPLIED MEXICO SA DE CV,NORM,A,2158194,16,2,683,1,null,627.83,3/3/2025,3/25/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,null
+,3/16/2021,30179229,5321-101-001,APPLIED MEXICO SA DE CV,NORM,A,2158194,18,2,600,2,2,28.92,3/3/2025,3/25/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/16/2021,30179234,5324-111-001,APPLIED MEXICO SA DE CV,NORM,A,2158194,12,2,634,1,1,897.82,3/3/2025,3/25/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/24/2021,30179258,5369-631-011,TRANSPLY INC,NORM,A,2162865,10,2,633,2,null,832.54,4/22/2021,3/25/2021,ID3,null,null,null,null,null,Y,WO# 11288154 10 PCS @ 635/633/687/braze/634/606/633,null
+,3/16/2021,30179274,540-0064,APPLIED MEXICO SA DE CV,NORM,A,2158194,13,2,683,1,1,326.34,3/3/2025,3/25/2021,ID3,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/16/2021,30179328,748-0005,APPLIED MEXICO SA DE CV,NORM,A,2158194,14,2,null,1,1,13.42,3/3/2025,3/25/2021,ID9,null,null,null,null,null,G,"Not pulled, need line 15/16",null
+,3/25/2021,30188228,5154-170-001,APPLIED INDUSTRIAL TECH,NORM,A,2163158,20,2,170,1,null,738.25,4/1/2021,3/25/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,null
+,3/24/2021,30188786,5250-36,BDI,NORM,A,2162677,10,2,684,1,null,1827.74,3/11/2025,3/25/2021,ID3,null,null,null,null,null,R,Need 5250-631-014 wo# 11288159 2 PCS @ 683/633,null
+,3/25/2021,30189386,5370-271-229,MOTION INDUSTRIES INC,NORM,A,2163201,10,2,681,1,null,1063.28,4/9/2021,3/25/2021,ID4,110-0332,"800-0374
5370-451-219",None,258-1224,258-1226,Y,WO# 11288160 1 PC,null
+,3/24/2021,30189617,5371-169-032,ERIETEC INC,NORM,A,2162583,10,2,681,2,null,2762.9,4/22/2021,3/25/2021,ID4,110-0333,None,None,None,None,R,"WO# 11288161 2 PCS
Need 5371-631-013 wo# 11296602 10 PCS @ 635/633","4/12 Teams
4/12 Order given to Seth to pull
4/15: Kitted short 5371-631-013"
+,3/25/2021,30178778,180-0046,APPLIED INDUSTRIAL TECH,NORM,A,2163643,12,2,null,1,1,54.02,4/12/2021,3/26/2021,ID9,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/25/2021,30178886,180-0211,APPLIED INDUSTRIAL TECH,NORM,A,2163643,11,2,null,1,1,47.7,4/12/2021,3/26/2021,ID9,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/25/2021,30179079,5200-101-012,APPLIED INDUSTRIAL TECH,NORM,A,2163643,17,2,600,1,1,38.52,4/12/2021,3/26/2021,ID3,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/25/2021,30179121,5203-111-001,APPLIED INDUSTRIAL TECH,NORM,A,2163643,13,2,634,1,1,689.93,4/12/2021,3/26/2021,ID3,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/25/2021,30179124,5203-452-012,APPLIED INDUSTRIAL TECH,NORM,A,2163643,16,2,682,1,1,2524.99,4/12/2021,3/26/2021,ID3,null,null,null,null,null,G,Complete 4/16,4/15 Teams
+,3/25/2021,30179206,5301-541-002,MOTION INDUSTRIES INC,NORM,A,2163632,10,2,683,1,null,398.35,4/23/2021,3/26/2021,ID3,null,null,null,null,null,R,Need 5301-749-001 wo# 11205890 40 PCS @ Herker due 4/19,null
+,3/25/2021,30188228,5154-170-001,MOTION INDUSTRIES INC,NORM,A,2163240,10,2,170,2,null,1476.5,4/1/2021,3/26/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,null
+,3/26/2021,30188478,5192-170-011,KAMAN,NORM,A,2164020,10,2,682,1,null,1113.18,3/13/2025,3/26/2021,ID3,null,null,null,null,null,"P
R",Need 5192-631-004 wo# 11288168 2 PCS @ 633,null
+,3/25/2021,30189283,5370-169-213,APPLIED INDUSTRIAL TECH,NORM,A,2163558,10,2,681,2,null,1214.14,4/9/2021,3/26/2021,ID4,110-0332,None,"800-0376
5370-631-218",258-1225,None,Y,WO# 11288172 2 PCS,4/19 Teams
+,3/12/2021,30189652,5371-271-003,PURVIS INDUSTRIES LTD,NORM,D,2156619,10,1,681,1,null,1564.46,3/26/2021,3/26/2021,ID4,110-0333,None,None,None,None,Y,WO# 11273814 1 PC,null
+,3/26/2021,30179026,5103-452-021,EASTERN INDUSTRIAL AUTOMATION,NORM,A,2164251,10,2,682,2,null,665.76,4/7/2021,3/29/2021,ID3,null,null,null,null,null,R,Need 5103-751-016 wo# 11256423 40 PCS 855/300/BO/300,null
+,3/29/2021,30179181,5300-178-001,TRANSBEARCO LTD,NORM,A,2164729,50,2,685,3,null,288.78,4/13/2021,3/29/2021,ID3,null,null,null,null,null,"P
R",Need 257-0032-/-257-0031 PO 500 PCS Due 3/29  ON HOLD due to plastic shortage /alternate,null
+,3/29/2021,30179229,5321-101-001,TRANSBEARCO LTD,NORM,A,2164729,40,2,600,3,3,43.38,4/13/2021,3/29/2021,ID3,null,null,null,null,null,G,Ship complete need line 50 ,null
+,3/26/2021,30179249,5367-111-005,APPLIED INDUSTRIAL TECH,NORM,A,2164290,20,2,634,2,null,427.42,4/12/2021,3/29/2021,ID3,null,null,null,null,null,R,Need 540-0643 wo# 11288178 20 PCS @ 683/606,null
+,3/26/2021,30188291,5161-101-002,RUMSEY ELECTRIC CO,NORM,A,2164285,20,2,600,2,null,222.46,3/13/2025,3/29/2021,ID3,null,null,null,null,null,R,Need 266-0031 wo# 11276503 5 PCS @ 683,null
+,3/26/2021,30188348,5162-271-003,PURVIS INDUSTRIES LTD,NORM,A,2164305,10,2,682,4,null,4615.72,3/13/2025,3/29/2021,ID3,null,null,null,null,null,R,"Need 540-1501 wo# 11288181 10PCS @ 683/475/683/686
Need 5162-751-001 wo# 11288182 8 PCS @ 682",null
+,3/23/2021,30188430,5181-271-034,BDI CANADA INC,NORM,A,2161646,40,2,682,1,1,1112.34,4/13/2021,3/29/2021,ID3,null,null,null,null,null,G,Shipper printed 4/13,null
+,3/15/2021,30189269,5370-111-013,INDELEC SAS,NORM,D,2157598,20,2,681,1,1,131.14,4/7/2021,3/29/2021,IDG,110-0332,None,None,None,None,G,Shipper printed 4/13,null
+,3/26/2021,30189286,5370-169-219,WAJAX INDUSTRIAL COMPONENTS,NORM,A,2164083,10,2,681,1,null,443.08,4/12/2021,3/29/2021,ID4,110-0331,None,"800-0375
5370-631-204",258-1225,None,Y,WO# 11288185 1 PC,null
+,3/26/2021,30189341,5370-170-212,DXP ENTERPRISES INC,NORM,A,2164273,10,2,681,2,null,1377.34,4/12/2021,3/29/2021,ID4,null,null,null,null,null,R,"WO# 11288187 2 PC
Need 5153-170-007 wo# 11288186 2 PC",null
+,3/26/2021,30189490,5370-536-200,APPLIED INDUSTRIAL TECH,NORM,A,2164196,10,2,681,1,null,262.39,4/5/2021,3/29/2021,ID4,110-0331,None,None,258-1226,None,Y,WO# 11279814 1 PC,"4/14 Teams
4/15 Order given to Karen to pull"
+,3/29/2021,30179182,5300-541-001,MOTION INDUSTRIES INC,NORM,A,2165004,10,2,683,1,null,276.57,4/13/2021,3/30/2021,ID3,null,null,null,null,null,Y,WO# 11241156 20 PCS @ 683/634,null
+,3/30/2021,30187979,5103-271-010,AUTOMATEDPT,NORM,A,2165512,10,2,682,2,null,1013.02,4/22/2021,3/30/2021,ID3,null,null,null,null,null,Y,WO# 11296475 2 PCS @ 682,null
+,3/29/2021,30188228,5154-170-001,APEX INDUSTRIAL AUTOMATION LLC,NORM,D,2164958,10,2,170,1,null,738.25,4/6/2021,3/30/2021,ID4,null,null,null,null,null,P,Need 5154-445-003 50PCS @ QC,4/19 Teams
+,3/23/2021,30189007,5301-101-002,ALTRA INDUSTRIAL MOTION SINGAP,NORM,A,2161604,20,2,600,1,1,11.19,9/13/2021,3/30/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10",null
+,3/23/2021,30189025,5301-749-001,ALTRA INDUSTRIAL MOTION SINGAP,NORM,A,2161604,10,2,683,1,null,114.43,9/13/2021,3/30/2021,ID3,null,null,null,null,null,Y,WO# 11205890 40 PCS @ Herker due 4/19,null
+,3/23/2021,30189404,5370-273-213,VANDERLANDE,NORM,A,2161560,10,2,681,1,null,734.57,4/7/2021,3/30/2021,ID4,110-0332,"800-0372
5370-451-208","800-0376
5370-631-218",258-1223,258-1225,Y,WO# 11288190 1 PC,null
+,3/30/2021,30190474,6001-101-002,AUTOMATEDPT,NORM,A,2165512,30,2,600,2,2,39.12,4/22/2021,3/30/2021,ID3,null,null,null,null,null,G,"Ship complete, need line 10",null
