Timestamp,Buildid,Cellname,Productarticlenumber,Lost Time in minutes,Linename,Product_expectedbuildtime,Actual_buildtime_step,Process_losttime,Interferencecomment,Interferencecategorymain,Interferencecategorysub,Productname
2034-04-25T00:00:00.000-07:00,622356,Final Assembly,5370-273-214,null,Model Value Stream,600,6,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-05-03T00:00:00.000-07:00,621827,Burnish and Inspection,5370-169-278,1.016626,Model Value Stream,720,781,61,Long burnish cycle time ,Burnish Rig,Waiting on Burnish Rig,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-05-12T00:00:00.000-07:00,622290,Burnish and Inspection,5370-169-289,null,Model Value Stream,720,148,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2034-05-15T00:00:00.000-07:00,622280,Burnish and Inspection,5370-170-217,null,Model Value Stream,480,36,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-06-21T00:00:00.000-07:00,622290,Pack Station,5370-169-289,null,Model Value Stream,720,114,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2034-07-23T00:00:00.000-07:00,622277,Kitting,5370-170-217,null,Model Value Stream,480,55,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-08-02T00:00:00.000-07:00,622294,Kitting,5370-273-214,null,Model Value Stream,600,76,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-08-22T00:00:00.000-07:00,622297,Hub-Shaft-Armature Assembly,5370-273-209,null,Model Value Stream,600,2,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-08-29T00:00:00.000-07:00,621845,Hub-Shaft-Armature Assembly,5371-169-023,null,Model Value Stream,480,6,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2033-06-15T00:00:00.000-07:00,622448,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,428,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-06-11T00:00:00.000-07:00,622446,Burnish and Inspection,5370-273-209,5.233124,Model Value Stream,600,914,314,TL step offline ,Punctuality/Attendance ,,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-06-18T00:00:00.000-07:00,622423,Burnish and Inspection,5370-273-235,null,Model Value Stream,720,684,null,null,null,null,5370-273-235-C-B UM-180-2030 90V AF GEN2,
2033-08-22T00:00:00.000-07:00,622351,Housing Assembly,5370-169-278,null,Model Value Stream,720,452,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-09-28T00:00:00.000-07:00,622365,Final Assembly,5371-273-027,null,Model Value Stream,480,315,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-10-11T00:00:00.000-07:00,622381,Burnish and Inspection,5370-273-204,12.149514,Model Value Stream,600,1329,729,Waiting to pack- share smartbagger ,Shared Equipment,,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-11-16T00:00:00.000-08:00,622367,Pack Station,5371-273-027,null,Model Value Stream,480,83,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-11-27T00:00:00.000-08:00,622333,Kitting,5370-169-288,null,Model Value Stream,720,87,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2033-12-10T00:00:00.000-08:00,622382,Kitting,5370-273-204,null,Model Value Stream,600,79,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-12-18T00:00:00.000-08:00,622314,Kitting,5370-273-214,null,Model Value Stream,600,91,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-12-20T00:00:00.000-08:00,622316,Kitting,5370-273-214,null,Model Value Stream,600,92,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-01-05T00:00:00.000-08:00,621827,Hub-Shaft-Armature Assembly,5370-169-278,null,Model Value Stream,720,3,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-02-08T00:00:00.000-08:00,622006,Housing Assembly,5370-169-214,26.298948,Model Value Stream,360,2058,1578,Maintenance in cell looking at conveyor on 510 ,Technical Support,,5370-169-214_BK EM-180-20 90V GEN2,
2034-02-22T00:00:00.000-08:00,622290,Housing Assembly,5370-169-289,null,Model Value Stream,720,26,null,null,null,null,5370-169-289_BK EM-180-20FBB 90V GEN2,
2034-03-04T00:00:00.000-08:00,622312,Housing Assembly,5370-273-214,null,Model Value Stream,600,429,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-03-27T00:00:00.000-07:00,622333,Final Assembly,5370-169-288,null,Model Value Stream,720,3,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-04-07T00:00:00.000-07:00,622291,Final Assembly,5370-273-214,null,Model Value Stream,600,30,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-04-12T00:00:00.000-07:00,622311,Final Assembly,5370-273-214,null,Model Value Stream,600,9,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-05-28T00:00:00.000-07:00,622317,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,388,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-05-31T00:00:00.000-07:00,622352,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,93,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-06-03T00:00:00.000-07:00,622355,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,null,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-06-06T00:00:00.000-07:00,622320,Pack Station,5370-169-203,null,Model Value Stream,360,61,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2034-07-07T00:00:00.000-07:00,622317,Pack Station,5370-273-214,null,Model Value Stream,600,48,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-07-29T00:00:00.000-07:00,622296,Kitting,5370-273-209,null,Model Value Stream,600,82,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-09-07T00:00:00.000-07:00,622232,Hub-Shaft-Armature Assembly,5371-273-013,null,Model Value Stream,480,6,null,null,null,null,5371-273-013_CL BK UM-210-1020FBC 24V,
2034-10-09T00:00:00.000-07:00,622278,Final Assembly,5370-273-209,null,Model Value Stream,600,13,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-10-10T00:00:00.000-07:00,622279,Final Assembly,5370-273-209,null,Model Value Stream,600,19,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-06-26T00:00:00.000-07:00,622429,Burnish and Inspection,5371-169-023,null,Model Value Stream,480,145,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2033-07-01T00:00:00.000-07:00,622452,Pack Station,5370-169-203,null,Model Value Stream,360,70,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2033-06-13T00:00:00.000-07:00,622444,Burnish and Inspection,5370-273-214,20.432516,Model Value Stream,600,1826,1226,Wait for housing- rest break ,Punctuality/Attendance ,,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-06-14T00:00:00.000-07:00,622445,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,380,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-07-20T00:00:00.000-07:00,621816,Pack Station,5371-169-023,null,Model Value Stream,480,163,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2033-07-29T00:00:00.000-07:00,622424,Kitting,5370-273-214,null,Model Value Stream,600,99,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-08-10T00:00:00.000-07:00,622378,Hub-Shaft-Armature Assembly,5370-273-204,null,Model Value Stream,600,1,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-08-29T00:00:00.000-07:00,622380,Housing Assembly,5370-273-204,null,Model Value Stream,600,10,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-09-01T00:00:00.000-07:00,622377,Housing Assembly,5370-273-209,null,Model Value Stream,600,293,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-09-13T00:00:00.000-07:00,622362,Final Assembly,5370-169-278,null,Model Value Stream,720,31,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-09-22T00:00:00.000-07:00,622377,Final Assembly,5370-273-209,null,Model Value Stream,600,173,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-10-22T00:00:00.000-07:00,622365,Burnish and Inspection,5371-273-027,null,Model Value Stream,480,25,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-11-10T00:00:00.000-08:00,619950,Pack Station,5371-273-027,null,Model Value Stream,480,2,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-12-03T00:00:00.000-08:00,621090,Kitting,5370-273-115,null,Model Value Stream,1380,50,null,null,null,null,5370-273-115_CL BK EUM-180-1020W 90V,
2033-12-09T00:00:00.000-08:00,622381,Kitting,5370-273-204,null,Model Value Stream,600,88,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2034-01-07T00:00:00.000-08:00,621829,Hub-Shaft-Armature Assembly,5370-169-278,null,Model Value Stream,720,4,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-01-16T00:00:00.000-08:00,622277,Hub-Shaft-Armature Assembly,5370-170-217,null,Model Value Stream,480,7,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-01-17T00:00:00.000-08:00,622280,Hub-Shaft-Armature Assembly,5370-170-217,null,Model Value Stream,480,30,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-01-25T00:00:00.000-08:00,622313,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,3,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-02-01T00:00:00.000-08:00,622352,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,6,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-02-05T00:00:00.000-08:00,622356,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,3,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-02-16T00:00:00.000-08:00,622333,Housing Assembly,5370-169-288,null,Model Value Stream,720,460,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-02-23T00:00:00.000-08:00,622276,Housing Assembly,5370-170-217,null,Model Value Stream,480,312,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-02-25T00:00:00.000-08:00,622280,Housing Assembly,5370-170-217,null,Model Value Stream,480,352,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-03-11T00:00:00.000-08:00,622319,Housing Assembly,5370-273-214,null,Model Value Stream,600,334,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-03-19T00:00:00.000-07:00,622006,Final Assembly,5370-169-214,null,Model Value Stream,360,2,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-03-25T00:00:00.000-07:00,621828,Final Assembly,5370-169-278,null,Model Value Stream,720,46,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-04-19T00:00:00.000-07:00,622318,Final Assembly,5370-273-214,null,Model Value Stream,600,16,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-05-16T00:00:00.000-07:00,622279,Burnish and Inspection,5370-273-209,null,Model Value Stream,600,528,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-05-23T00:00:00.000-07:00,622312,Burnish and Inspection,5370-273-214,5.599776,Model Value Stream,600,936,336,"Wait for housing- slower than cycle time, TL step offline enter work orders into mbrain ",Long Machining Cycle Time,,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-06-11T00:00:00.000-07:00,622364,Pack Station,5370-169-214,null,Model Value Stream,360,80,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-06-16T00:00:00.000-07:00,622334,Pack Station,5370-169-288,null,Model Value Stream,720,123,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-07-12T00:00:00.000-07:00,622354,Pack Station,5370-273-214,null,Model Value Stream,600,117,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-08-16T00:00:00.000-07:00,622258,Hub-Shaft-Armature Assembly,5370-169-218,null,Model Value Stream,360,6,null,null,null,null,"5370-169-218_BRAKE EM-50-20MB, 24V",
2034-09-13T00:00:00.000-07:00,622278,Housing Assembly,5370-273-209,null,Model Value Stream,600,593,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-09-15T00:00:00.000-07:00,622293,Housing Assembly,5370-273-209,null,Model Value Stream,600,598,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-09-20T00:00:00.000-07:00,621814,Housing Assembly,5371-169-023,null,Model Value Stream,480,134,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2034-09-22T00:00:00.000-07:00,621844,Housing Assembly,5371-169-023,null,Model Value Stream,480,226,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2034-09-26T00:00:00.000-07:00,622209,Housing Assembly,5371-271-003,null,Model Value Stream,360,1,null,null,null,null,5371-271-003_CL UM-210-1040 90V,
2034-10-08T00:00:00.000-07:00,622275,Final Assembly,5370-270-204,null,Model Value Stream,360,7,null,null,null,null,5370-270-204_CL EM-50-10 90V GEN2,
2033-06-08T00:00:00.000-07:00,622451,Burnish and Inspection,5370-169-204,null,Model Value Stream,360,60,null,null,null,null,5370-169-204_BK EM-50-20 90V GEN2,
2033-06-20T00:00:00.000-07:00,622478,Burnish and Inspection,5370-273-323,5.766436,Model Value Stream,600,946,346,Wait for housing slower than cycle time ,Incorrect Standard Work,,5370-273-323_HD C/B UM180-1020 90V GEN2,
2033-06-07T00:00:00.000-07:00,622450,Burnish and Inspection,5370-169-204,null,Model Value Stream,360,14,null,null,null,null,5370-169-204_BK EM-50-20 90V GEN2,
2033-07-19T00:00:00.000-07:00,622483,Pack Station,5370-273-323,null,Model Value Stream,600,67,null,null,null,null,5370-273-323_HD C/B UM180-1020 90V GEN2,
2033-08-18T00:00:00.000-07:00,622365,Hub-Shaft-Armature Assembly,5371-273-027,null,Model Value Stream,480,4,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-09-09T00:00:00.000-07:00,622367,Housing Assembly,5371-273-027,null,Model Value Stream,480,36,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-11-18T00:00:00.000-08:00,622320,Kitting,5370-169-203,null,Model Value Stream,360,91,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2033-12-04T00:00:00.000-08:00,622358,Kitting,5370-273-204,null,Model Value Stream,600,121,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-12-21T00:00:00.000-08:00,622317,Kitting,5370-273-214,null,Model Value Stream,600,96,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-12-27T00:00:00.000-08:00,622355,Kitting,5370-273-214,null,Model Value Stream,600,92,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-01-01T00:00:00.000-08:00,622007,Hub-Shaft-Armature Assembly,5370-169-214,null,Model Value Stream,360,14,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-02-21T00:00:00.000-08:00,622339,Housing Assembly,5370-169-288,23.549058,Model Value Stream,720,1893,1413,Rest break ,Punctuality/Attendance ,,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-03-08T00:00:00.000-08:00,622316,Housing Assembly,5370-273-214,null,Model Value Stream,600,466,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-03-31T00:00:00.000-07:00,622338,Final Assembly,5370-169-288,null,Model Value Stream,720,35,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-05-13T00:00:00.000-07:00,622276,Burnish and Inspection,5370-170-217,null,Model Value Stream,480,323,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-06-08T00:00:00.000-07:00,622007,Pack Station,5370-169-214,null,Model Value Stream,360,59,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-06-20T00:00:00.000-07:00,622339,Pack Station,5370-169-288,null,Model Value Stream,720,67,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-07-02T00:00:00.000-07:00,622312,Pack Station,5370-273-214,null,Model Value Stream,600,68,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-07-17T00:00:00.000-07:00,622258,Kitting,5370-169-218,1.966588,Model Value Stream,360,402,118,Part located by the Cafe.,Incorrect Kitting Standard Time,Kitting distance,"5370-169-218_BRAKE EM-50-20MB, 24V",
2034-08-03T00:00:00.000-07:00,622295,Kitting,5370-273-214,null,Model Value Stream,600,69,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-08-24T00:00:00.000-07:00,622294,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,2,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-09-02T00:00:00.000-07:00,622259,Hub-Shaft-Armature Assembly,5371-271-008,null,Model Value Stream,900,6,null,null,null,null,5371-271-008_CL UM-210-3040 90V,
2034-09-27T00:00:00.000-07:00,622259,Housing Assembly,5371-271-008,null,Model Value Stream,900,3,null,null,null,null,5371-271-008_CL UM-210-3040 90V,
2034-09-29T00:00:00.000-07:00,621823,Housing Assembly,5371-273-003,1.299948,Model Value Stream,720,798,78,Forgot to validate ,Operator Error/Mistake,,5371-273-003_CL/BK UM-210-1020 90V,
2033-07-28T00:00:00.000-07:00,622421,Kitting,5370-169-288,null,Model Value Stream,720,66,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2033-07-31T00:00:00.000-07:00,622365,Kitting,5371-273-027,10.032932,Model Value Stream,480,886,602,Work order is for 3 modules.  Parts by the Cafe.,Incorrect Kitting Standard Time,Kitting distance,5371-273-027_CL BK EUM-210-1020 90V,
2033-08-02T00:00:00.000-07:00,622367,Kitting,5371-273-027,null,Model Value Stream,480,25,null,null,null,null,5371-273-027_CL BK EUM-210-1020 90V,
2033-08-04T00:00:00.000-07:00,622351,Hub-Shaft-Armature Assembly,5370-169-278,null,Model Value Stream,720,2,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-08-07T00:00:00.000-07:00,622420,Hub-Shaft-Armature Assembly,5370-169-278,null,Model Value Stream,720,2,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-08-25T00:00:00.000-07:00,622421,Housing Assembly,5370-169-288,null,Model Value Stream,720,423,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2033-08-28T00:00:00.000-07:00,622379,Housing Assembly,5370-273-204,3.3332,Model Value Stream,600,800,200,Not validating -632 ,Operator Error/Mistake,,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-09-11T00:00:00.000-07:00,622349,Final Assembly,5370-169-278,null,Model Value Stream,720,232,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-09-16T00:00:00.000-07:00,622361,Final Assembly,5370-273-204,null,Model Value Stream,600,6,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-10-03T00:00:00.000-07:00,622351,Burnish and Inspection,5370-169-278,null,Model Value Stream,720,45,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-11-22T00:00:00.000-08:00,622363,Kitting,5370-169-214,null,Model Value Stream,360,54,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2033-12-11T00:00:00.000-08:00,622384,Kitting,5370-273-204,null,Model Value Stream,600,98,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2034-01-09T00:00:00.000-08:00,622334,Hub-Shaft-Armature Assembly,5370-169-288,null,Model Value Stream,720,4,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-03-09T00:00:00.000-08:00,622317,Housing Assembly,5370-273-214,null,Model Value Stream,600,568,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-03-22T00:00:00.000-07:00,622363,Final Assembly,5370-169-214,null,Model Value Stream,360,2,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-04-18T00:00:00.000-07:00,622317,Final Assembly,5370-273-214,null,Model Value Stream,600,11,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-04-26T00:00:00.000-07:00,622357,Final Assembly,5370-273-214,null,Model Value Stream,600,15,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-05-01T00:00:00.000-07:00,622363,Burnish and Inspection,5370-169-214,null,Model Value Stream,360,null,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-05-14T00:00:00.000-07:00,622277,Burnish and Inspection,5370-170-217,null,Model Value Stream,480,16,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-05-30T00:00:00.000-07:00,622319,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,276,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-06-09T00:00:00.000-07:00,622016,Pack Station,5370-169-214,null,Model Value Stream,360,63,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-06-13T00:00:00.000-07:00,621828,Pack Station,5370-169-278,null,Model Value Stream,720,55,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-06-19T00:00:00.000-07:00,622338,Pack Station,5370-169-288,null,Model Value Stream,720,3,null,null,null,null,5370-169-288_BK EM-180-20FBB 24V GEN2,
2034-07-14T00:00:00.000-07:00,622356,Pack Station,5370-273-214,null,Model Value Stream,600,60,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-07-30T00:00:00.000-07:00,622297,Kitting,5370-273-209,null,Model Value Stream,600,131,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-08-06T00:00:00.000-07:00,621844,Kitting,5371-169-023,null,Model Value Stream,480,114,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2034-08-13T00:00:00.000-07:00,622232,Kitting,5371-273-013,8.632988,Model Value Stream,480,802,518,Parts located by the Cafe.,Incorrect Kitting Standard Time,Kitting distance,5371-273-013_CL BK UM-210-1020FBC 24V,
2034-09-03T00:00:00.000-07:00,621809,Hub-Shaft-Armature Assembly,5371-273-003,null,Model Value Stream,720,6,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2034-09-16T00:00:00.000-07:00,622296,Housing Assembly,5370-273-209,null,Model Value Stream,600,591,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-09-23T00:00:00.000-07:00,621845,Housing Assembly,5371-169-023,null,Model Value Stream,480,360,null,null,null,null,5371-169-023_BK EM-210-20 90V,
2034-10-02T00:00:00.000-07:00,622232,Housing Assembly,5371-273-013,null,Model Value Stream,480,179,null,null,null,null,5371-273-013_CL BK UM-210-1020FBC 24V,
2034-10-04T00:00:00.000-07:00,621847,Housing Assembly,5371-273-078,null,Model Value Stream,720,11,null,null,null,null,"5371-273-078_CL/BK ASM: UM-215-1020,90V",
2034-10-07T00:00:00.000-07:00,622258,Final Assembly,5370-169-218,null,Model Value Stream,360,20,null,null,null,null,"5370-169-218_BRAKE EM-50-20MB, 24V",
2034-10-13T00:00:00.000-07:00,622297,Final Assembly,5370-273-209,null,Model Value Stream,600,2,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-06-16T00:00:00.000-07:00,622449,Burnish and Inspection,5370-273-214,null,Model Value Stream,600,140,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2033-06-28T00:00:00.000-07:00,622428,Burnish and Inspection,5371-273-003,null,Model Value Stream,720,513,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2033-07-24T00:00:00.000-07:00,622430,Pack Station,5371-273-003,null,Model Value Stream,720,160,null,null,null,null,5371-273-003_CL/BK UM-210-1020 90V,
2033-08-15T00:00:00.000-07:00,622386,Hub-Shaft-Armature Assembly,5370-273-209,null,Model Value Stream,600,4,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-08-26T00:00:00.000-07:00,622361,Housing Assembly,5370-273-204,8.149674,Model Value Stream,600,1089,489,Forgot to validate ,Operator Error/Mistake,,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-08-27T00:00:00.000-07:00,622378,Housing Assembly,5370-273-204,null,Model Value Stream,600,10,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-10-08T00:00:00.000-07:00,622378,Burnish and Inspection,5370-273-204,null,Model Value Stream,600,524,null,null,null,null,5370-273-204_C/B UM-50-1020 90V GEN2,
2033-10-26T00:00:00.000-07:00,622349,Pack Station,5370-169-278,null,Model Value Stream,720,226,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2033-11-06T00:00:00.000-07:00,622377,Pack Station,5370-273-209,null,Model Value Stream,600,65,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2033-11-17T00:00:00.000-08:00,621632,Pack Station,5371-273-084,null,Model Value Stream,720,179,null,null,null,null,5371-273-084_CL BK EUM-215-1020 90V,
2033-11-23T00:00:00.000-08:00,622364,Kitting,5370-169-214,null,Model Value Stream,360,57,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2033-11-24T00:00:00.000-08:00,622349,Kitting,5370-169-278,null,Model Value Stream,720,86,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-01-02T00:00:00.000-08:00,622016,Hub-Shaft-Armature Assembly,5370-169-214,null,Model Value Stream,360,4,null,null,null,null,5370-169-214_BK EM-180-20 90V GEN2,
2034-01-28T00:00:00.000-08:00,622316,Hub-Shaft-Armature Assembly,5370-273-214,null,Model Value Stream,600,5,null,null,null,null,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-02-07T00:00:00.000-08:00,622320,Housing Assembly,5370-169-203,null,Model Value Stream,360,63,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2034-02-14T00:00:00.000-08:00,621828,Housing Assembly,5370-169-278,5.899764,Model Value Stream,720,834,354,Forgot to validate ,Operator Error/Mistake,,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-02-24T00:00:00.000-08:00,622277,Housing Assembly,5370-170-217,null,Model Value Stream,480,324,null,null,null,null,5370-170-217_BK EM-180/ERS-49 90V3FT.LB,
2034-03-18T00:00:00.000-07:00,622320,Final Assembly,5370-169-203,null,Model Value Stream,360,14,null,null,null,null,5370-169-203_BK EM-50-20 24V GEN2,
2034-06-04T00:00:00.000-07:00,622356,Burnish and Inspection,5370-273-214,12.849486,Model Value Stream,600,1371,771,"Wait for housing- slower than cycle time, TL step offline, help op ",Long Machining Cycle Time,,5370-273-214_C/B UM-180-1020 90V GEN2,
2034-06-14T00:00:00.000-07:00,621829,Pack Station,5370-169-278,null,Model Value Stream,720,91,null,null,null,null,5370-169-278_BK EM-50-20FBB 24V GEN2,
2034-06-25T00:00:00.000-07:00,622279,Pack Station,5370-273-209,null,Model Value Stream,600,73,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-07-26T00:00:00.000-07:00,622278,Kitting,5370-273-209,null,Model Value Stream,600,80,null,null,null,null,5370-273-209_C/B UM-100-1020 90V GEN2,
2034-08-14T00:00:00.000-07:00,621847,Kitting,5371-273-078,null,Model Value Stream,720,223,null,null,null,null,"5371-273-078_CL/BK ASM: UM-215-1020,90V",
